tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
kim.larsen183,Kim Larsen,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7586039264354290947,2025-12-20,,382,0,0,0,0,https://www.tiktok.com/@kim.larsen183/video/7586039264354290947
kim.larsen183,Kim Larsen,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7583282425187339543,2025-12-13,,398,7,0,3,0,https://www.tiktok.com/@kim.larsen183/video/7583282425187339543
kim.larsen183,Kim Larsen,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7580474888679378198,2025-12-05,,2702,24,2,1,3,https://www.tiktok.com/@kim.larsen183/video/7580474888679378198
kim.larsen183,Kim Larsen,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7573941246671129879,2025-11-18,Husk at stemme i morgen #kv25 #tårnby #kimfortårnby #enhedslisten ,1006,27,1,2,0,https://www.tiktok.com/@kim.larsen183/video/7573941246671129879
kim.larsen183,Kim Larsen,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7573684563835227414,2025-11-17,Har du husket at stemme? #kv25 #tårnby #kimfortårnby #enhedslisten ,1611,37,1,27,1,https://www.tiktok.com/@kim.larsen183/video/7573684563835227414
kim.larsen183,Kim Larsen,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7573238183530335510,2025-11-16,,1247,35,1,1,0,https://www.tiktok.com/@kim.larsen183/video/7573238183530335510
kim.larsen183,Kim Larsen,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7572915573311442198,2025-11-15,,1209,46,6,4,3,https://www.tiktok.com/@kim.larsen183/video/7572915573311442198
kim.larsen183,Kim Larsen,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7572830525354822934,2025-11-15,Alle ensomme ældre skal have mulighed for fællesskab og et sundt frisklavet måltid #kv25 #tårnby #kimfortårnby #enhedslisten #ældrepleje ,2710,41,2,1,2,https://www.tiktok.com/@kim.larsen183/video/7572830525354822934
kim.larsen183,Kim Larsen,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7572431823137934614,2025-11-14,Tårnby jeg har en plan #kv25 #tårnby #kimfortårnby #enhedslisten ,1792,45,0,3,1,https://www.tiktok.com/@kim.larsen183/video/7572431823137934614
kim.larsen183,Kim Larsen,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7572128635142950166,2025-11-13,Vi har smukke grønne områder i Tårnby - dem kan vi godt være stolte af #kv25 #tårnby #kimfortårnby #enhedslisten ,870,32,1,4,0,https://www.tiktok.com/@kim.larsen183/video/7572128635142950166
kim.larsen183,Kim Larsen,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7572062613597588758,2025-11-13,Vi uddanner fremtidens børn - men glemmer at uddanne dem som underviser #kv25 #folkeskole #enhedslisten #tårnby #kimfortårnby ,11500,406,21,176,19,https://www.tiktok.com/@kim.larsen183/video/7572062613597588758
kim.larsen183,Kim Larsen,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7571950001392307478,2025-11-12,,1426,24,0,42,8,https://www.tiktok.com/@kim.larsen183/video/7571950001392307478
kim.larsen183,Kim Larsen,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7571719190583708950,2025-11-12,Vores ældre har passet på os - nu skal vi passe på dem. De fortjener værdige forhold #kv25 #tårnby #kimfortårnby #enhedslisten ,12700,323,24,80,12,https://www.tiktok.com/@kim.larsen183/video/7571719190583708950
kim.larsen183,Kim Larsen,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7571484416661310723,2025-11-11,,2277,47,9,25,2,https://www.tiktok.com/@kim.larsen183/video/7571484416661310723
kim.larsen183,Kim Larsen,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7571108286427122966,2025-11-10,"Jeg vil arbejde for ungdomsboliger, botilbud, idrætsklubber og daginstitutioner #kv25 #tårnby #kimfortårnby #enhedslisten ",2693,74,6,9,2,https://www.tiktok.com/@kim.larsen183/video/7571108286427122966
kim.larsen183,Kim Larsen,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7570744252863417622,2025-11-09,"Hvis du også synes, Tårnby fortjener lidt mindre larm, så følg med #kv25 #tårnby #enhedslisten #kimfortårnby ",2994,107,3,11,5,https://www.tiktok.com/@kim.larsen183/video/7570744252863417622
